ISSN,IMPACT_FACTOR
1055-7903,4.412
0894-0282,3.588
0035-8711,5.194
0276-4741,1.216
1380-7501,1.541
0942-4962,1.703
0027-3171,3.6910000000000003
1383-5742,5.205
0301-486X,1.476
0933-7407,2.793
0275-5947,1.5190000000000001
1878-7789,2.07
2211-2855,13.12
2192-8606,6.013999999999999
1556-7265,3.111
1556-7265,3.111
2040-3364,7.233
1556-276X,3.125
0957-4484,3.404
0749-0720,1.1840000000000002
2448-6760,0.21100000000000002
0928-4249,2.903
0240-8759,0.475
0882-8245,1.531
0882-8245,1.531
0945-6317,2.9360000000000004
1359-4338,1.375
0042-6989,2.069
0083-6729,3.286
0166-5316,1.786
0031-5303,0.61
0031-5303,0.61
0369-8963,1.351
1000-0747,2.065
1354-0793,1.415
1672-5107,1.624
1012-5302,0.426
0091-150X,0.679
1744-683X,3.7089999999999996
0038-0644,1.338
0267-7261,2.077
0038-0768,1.122
1532-0383,0.9690000000000001
0038-0806,1.599
0927-0248,5.018
0954-0911,1.137
0038-1101,1.666
0926-2040,2.674
0926-2040,2.674
1293-2558,1.861
1541-0161,0.098
2070-2620,0.972
0038-4348,0.8540000000000001
0885-8608,0.98
1465-7392,19.064
1758-678X,19.180999999999997
1758-678X,19.180999999999997
2397-334X,
2397-334X,
0031-6997,18.964000000000002
0950-0839,1.194
0950-0839,1.194
0268-3555,1.5130000000000001
0031-8388,0.48
0031-8388,0.48
0099-1112,3.15
1569-4410,1.575
1387-974X,1.203
1674-9251,1.317
2327-9125,5.242000000000001
1322-0829,1.275
0031-8884,1.798
0342-1791,1.679
1061-4303,0.825
0920-4741,2.6439999999999997
0273-1223,1.247
0273-1223,1.247
0165-2125,1.723
1444-6162,0.778
0043-1745,2.044
0277-5212,1.811
0909-6396,2.081
1035-3712,1.41
2049-1948,3.943
1561-8633,2.281
0921-030X,1.901
1078-8956,32.621
1097-6256,19.912
1745-2473,22.726999999999997
0265-0568,11.405999999999999
1478-6419,1.9280000000000002
1759-4774,24.653000000000002
1474-1776,50.167
1740-1526,31.851
0970-258X,0.7859999999999999
1519-566X,0.8859999999999999
0954-898X,0.706
1522-8517,9.384
0197-0186,3.603
1541-6933,3.1630000000000003
1660-2854,2.785
1364-6745,3.09
1539-2791,3.852
1695-971X,0.8109999999999999
2211-6753,1.026
1939-4551,5.676
1749-7922,3.198
0084-2230,0.41
0049-8246,1.077
0749-503X,2.283
0044-2275,1.7109999999999999
1070-6631,2.279
2331-7019,4.782
2469-9950,3.813
2469-990X,2.021
2475-9953,
1862-6254,3.721
0953-8585,0.14300000000000002
0921-4526,1.453
1643-1049,1.2
0967-3334,2.006
0959-3985,1.129
0958-0344,2.3369999999999997
1362-4393,1.936
1357-3322,2.7689999999999997
0038-9145,0.321
0960-3174,1.851
0277-6715,1.932
0277-6715,1.932
0962-2802,2.2840000000000003
0962-2802,2.2840000000000003
0962-2802,2.2840000000000003
0883-4237,2.324
1873-5061,1.829
1550-8943,3.612
1066-5099,5.587000000000001
1011-6125,1.6480000000000001
0736-2994,0.541
0304-4149,1.051
2329-7778,3.969
0028-3843,0.8170000000000001
1590-1874,2.285
1074-7931,0.722
1535-1084,2.952
0031-9511,0.455
1863-5466,1.301
0167-6903,2.081
0948-6704,1.16
0939-5075,0.882
1016-264X,0.293
0044-2267,1.296
0044-4677,0.311
0949-0205,0.091
0944-2006,1.9380000000000002
0967-1994,1.114
1557-1955,2.366
0960-2011,2.842
0960-2011,2.842
1040-7308,4.894
0894-4105,2.699
0893-133X,6.544
1545-9683,4.711
0304-3940,2.1590000000000003
1042-3680,2.4859999999999998
1042-3680,2.4859999999999998
1029-8428,3.1860000000000004
0161-813X,3.076
1007-8827,1.171
1463-6778,1.571
1361-4568,1.0
0301-4223,0.415
1119-3077,0.713
1392-5113,0.8959999999999999
1584-9074,0.596
0029-4527,0.40299999999999997
0039-3169,0.987
0039-3681,0.748
1220-1766,1.02
0039-3215,0.45
1553-734X,3.955
1934-1482,1.85
1509-8117,0.55
0138-0338,1.2309999999999999
0032-2474,0.7120000000000001
0800-0395,1.5
0032-2725,0.713
0959-8103,2.352
0967-3911,0.461
1734-9338,1.443
0926-2601,0.852
1385-2256,2.435
0141-6359,2.582
1751-9918,1.702
0373-1332,0.35200000000000004
1553-3506,1.5490000000000002
0960-7404,2.5580000000000003
1479-666X,2.096
0039-6265,1.163
1661-8726,1.604
0002-8487,1.406
0020-2967,0.59
2373-8065,2.0
2056-6387,9.206
0029-5507,0.124
0029-5515,4.0569999999999995
0168-9002,1.3359999999999999
1359-5113,2.616
1059-1478,1.7719999999999998
0079-6107,3.427
0079-6425,23.75
1877-1173,3.074
1002-0071,2.572
0079-6565,6.0
0079-6638,5.545
0146-6410,11.049000000000001
1062-7995,6.456
0079-6700,24.558000000000003
0079-6816,9.0
1166-7087,0.8190000000000001
0361-7688,0.267
0952-3278,2.437
0887-3585,2.274
1477-5956,1.7690000000000001
0033-2496,0.39899999999999997
2475-0573,
1354-8506,1.589
0168-9002,1.3359999999999999
0168-583X,1.3230000000000002
0143-3636,1.495
0375-9474,1.992
1001-8042,1.085
1525-7770,0.831
0029-5922,0.72
1446-6368,1.084
0939-4753,3.318
2072-6643,4.196000000000001
0048-0134,1.3330000000000002
1467-7881,8.482999999999999
0029-8018,2.214
1812-0784,2.289
1738-5261,0.614
0030-1299,3.7089999999999996
1294-4475,1.399
0342-5622,0.321
0030-2465,1.0170000000000001
1230-1612,0.75
1230-1612,0.75
0361-7734,2.13
0166-4972,4.802
1300-3356,0.266
0033-3123,2.089
0033-3190,13.122
0737-1209,1.163
2045-8932,2.283
1558-8599,0.171
0033-569X,0.853
1824-4785,2.3680000000000003
1575-5460,1.0190000000000001
1575-5460,1.0190000000000001
1871-1014,3.44
1040-6182,2.1630000000000003
1530-5627,2.165
0932-3414,0.8190000000000001
1017-0839,0.5429999999999999
1017-0839,0.5429999999999999
0040-4020,2.377
1471-0684,0.875
2040-6223,4.9
0163-4356,2.092
2153-7658,2.0380000000000003
0040-6031,2.189
0040-6376,9.655
1877-959X,2.612
0171-8096,0.47600000000000003
0166-8641,0.5489999999999999
0740-9303,1.2830000000000001
1381-6810,1.574
0941-293X,0.8420000000000001
0143-8166,3.388
0257-0130,1.171
0144-8420,0.8220000000000001
0033-8230,1.202
0033-8443,0.9209999999999999
0033-8451,0.225
0167-8140,4.942
2010-3263,0.784
1042-9832,0.985
1036-9872,1.08
1381-5148,2.975
1872-2105,1.475
2352-3204,1.182
1560-3547,1.383
0273-2300,2.815
1549-1684,3.22
0951-8320,4.138999999999999
0034-4257,6.457000000000001
0034-4257,6.457000000000001
0030-3992,2.503
1573-4277,1.113
1573-4277,1.113
1389-4420,1.3519999999999999
0030-4948,1.591
1083-6160,3.5839999999999996
1063-4584,5.454
0002-9939,0.7070000000000001
0002-9939,0.7070000000000001
1540-7489,5.336
1478-4629,1.5
1353-2618,0.9059999999999999
0965-092X,0.239
0954-4054,1.445
0954-4070,1.4140000000000001
1475-0902,1.09
1748-006X,1.3730000000000002
1754-3371,1.07
0192-6233,1.966
0954-6111,3.23
1569-9048,1.7919999999999998
1465-993X,3.7510000000000003
0275-004X,4.013
1742-4690,3.417
1606-5131,2.1719999999999997
1753-5123,7.138999999999999
0167-8299,4.49
0716-1018,0.418
0034-7752,1.412
0718-915X,0.43799999999999994
0048-7554,1.284
0173-9565,1.246
1323-1650,1.6740000000000002
0025-3227,2.364
0946-2104,0.381
1538-9588,1.274
1246-7820,0.9359999999999999
1660-3796,2.1519999999999997
2158-3188,4.691
1931-5244,4.88
1942-7867,0.727
0041-1337,3.96
0965-8564,3.0260000000000002
2324-9935,2.25
1364-6613,15.557
1471-4914,11.020999999999999
0166-2236,11.439
1745-6215,2.0669999999999997
0127-5720,0.39299999999999996
0049-4755,0.565
1360-2276,2.541
1007-0214,1.365
0951-8339,2.491
0340-6253,2.58
0340-6253,2.58
1044-5803,2.892
0465-2746,1.8030000000000002
2053-1591,1.151
1517-7076,0.34
1740-8695,3.233
1387-3954,0.586
0025-5718,1.75
0378-4754,1.476
2156-8472,0.631
0942-5616,0.522
0170-4214,1.18
0364-765X,1.078
1024-123X,1.145
0165-4896,0.604
0309-1740,2.821
0960-3166,3.299
0187-7380,0.33
1346-4523,0.677
1932-5150,1.2990000000000002
1932-5150,1.2990000000000002
1932-5150,1.2990000000000002
0265-2048,1.7930000000000001
0166-3542,4.3069999999999995
0166-3542,4.3069999999999995
1446-1811,0.5539999999999999
0926-860X,4.521
0926-3373,11.698
0883-2927,3.088
1541-2016,2.042
0937-9347,0.835
0096-3003,2.3
2327-9095,1.548
0897-1897,1.136
0947-8396,1.604
1715-5312,2.5180000000000002
0883-0185,2.9330000000000003
0074-7742,2.371
0020-8868,0.5760000000000001
1534-7354,2.657
1540-7063,2.7510000000000003
1058-4587,0.36700000000000005
1569-9293,1.756
0378-1844,0.258
0918-2918,0.8170000000000001
0020-9554,0.44
0300-5526,1.011
1741-5977,1.125
1077-8306,1.3330000000000002
0792-4259,1.056
0167-6997,3.502
2008-3866,1.514
0009-2541,3.57
0379-864X,3.235
0009-3092,0.36
0948-1907,2.227
1861-4728,3.6919999999999997
2196-0216,4.446000000000001
0046-5070,3.767
1663-4365,3.582
1662-5153,3.138
2095-2228,1.105
2095-2228,1.105
2095-9184,0.91
2095-025X,1.4780000000000002
1662-5110,3.1310000000000002
1662-5196,3.074
1664-2295,3.508
0016-2361,4.908
0378-3820,3.9560000000000004
1536-383X,1.011
0016-2663,0.5710000000000001
0767-3981,2.349
1878-6146,2.571
1087-1845,3.4760000000000004
1087-1845,3.4760000000000004
0165-0114,2.675
0940-5550,1.75
0308-521X,3.0039999999999996
1405-3195,0.27
2168-3565,1.14
1774-0746,4.503
0890-0604,1.045
0098-3004,2.5669999999999997
0167-7055,2.046
0360-8352,3.195
0010-4620,0.792
0169-2607,2.674
0045-7825,4.441
0305-0548,2.9619999999999997
1521-9615,1.074
0167-4048,2.65
0167-9473,1.181
2210-271X,1.443
1077-3142,2.391
0943-4062,0.828
1063-293X,1.456
0954-0091,0.9329999999999999
1430-6395,1.442
0003-7028,1.642
0044-8486,2.71
1864-7790,1.932
0948-3055,2.024
0166-445X,3.884
1878-5352,2.969
2193-567X,1.092
1644-3985,0.311
1170-229X,2.381
0148-0545,1.531
2190-393X,3.395
0114-5916,3.585
0737-3937,2.219
0211-9536,0.314
1615-9306,2.415
0352-5139,0.797
0022-4502,1.4409999999999998
1747-7778,1.218
1071-0922,1.102
1439-0108,2.627
0199-6231,1.367
0022-460X,2.6180000000000003
0378-3758,0.8140000000000001
1548-7660,22.737
0960-0760,4.095
0022-474X,1.825
0963-8687,4.313
1047-8477,3.4330000000000003
0191-8141,2.622
0949-8036,0.33299999999999996
0231-5882,1.479
0378-1119,2.498
2073-4425,3.1910000000000003
1015-8146,0.14
0741-0395,2.544
1071-9164,3.9419999999999997
0889-4655,2.097
0886-3350,2.68
1557-5969,0.511
0021-955X,1.625
2095-2899,0.7609999999999999
0271-678X,6.045
0098-0331,2.419
0021-9568,2.1959999999999997
0891-0618,2.162
0021-9606,2.843
0974-3626,1.254
0268-2575,2.5869999999999997
1549-9618,5.399
1044-5463,2.9010000000000002
1044-5463,2.9010000000000002
1367-4935,1.107
0021-9673,3.716
1566-0621,2.025
1877-7252,0.742
0950-0618,3.485
1551-7144,2.658
1335-1842,0.733
1454-8658,0.698
0737-0024,3.3789999999999996
1064-1955,1.2570000000000001
0018-8646,0.9620000000000001
1545-5963,2.428
1545-5963,2.428
1063-6692,3.11
0885-8985,1.36
1536-1225,3.448
2325-6095,2.912
1556-6056,1.521
1556-603X,6.611000000000001
2162-2248,1.4340000000000002
1545-598X,2.892
1545-598X,2.892
1932-4529,10.429
0942-8925,2.443
2366-004X,1.506
1876-2859,2.806
0889-3241,1.197
0889-3241,1.197
0360-0300,5.55
1549-6325,0.652
1468-0874,2.775
1543-5075,1.171
0020-7292,2.072
0017-9310,3.891
1744-232X,0.105
0925-5710,1.942
1094-3420,2.015
0972-3757,0.146
0360-3199,4.229
1438-4639,4.848
1931-7204,2.302
1600-5775,3.2319999999999998
1674-4918,3.657
1874-2718,0.593
0960-894X,2.4419999999999997
1537-5110,2.1319999999999997
1226-8372,1.226
1860-6768,3.5069999999999997
0006-5196,0.778
1471-230X,2.7310000000000003
1471-2172,2.615
0959-6526,5.651
1094-6950,3.015
0895-4356,4.245
1933-2874,3.58
0269-4727,1.661
1400-0350,1.16
0749-0208,0.804
0749-0208,0.804
0266-8254,1.4709999999999999
1570-1808,0.924
1993-2820,1.656
0213-8409,0.736
0267-8292,2.636
1210-3306,0.27699999999999997
1648-8504,0.875
0024-4937,3.8569999999999998
1527-6465,3.752
1527-6465,3.752
1871-1413,1.204
1354-9839,1.9280000000000002
0954-0075,1.485
0169-5002,4.486000000000001
0961-2033,2.969
1539-6851,1.903
1091-0344,1.339
0364-9059,2.065
1527-3342,2.9619999999999997
0890-8044,7.197
1041-1135,2.4459999999999997
1943-0655,2.627
2154-2287,0.5870000000000001
0018-9251,2.063
0145-8876,1.955
0145-8892,1.51
0003-925X,0.292
0022-1198,1.1840000000000002
1068-3666,0.574
1550-624X,1.052
1756-4646,3.47
1091-255X,2.813
0022-1260,0.789
1345-2630,0.741
0022-1317,2.5140000000000002
0264-3707,2.142
1009-637X,1.6230000000000002
1742-2132,1.411
2169-8953,3.484
0734-743X,3.344
1751-5521,1.919
0948-3349,4.195
0020-7403,3.57
1661-6952,0.69
0022-3115,2.447
0022-3131,0.774
1570-2820,0.951
1570-2820,0.951
0002-0443,1.32
0022-3166,4.398
1279-7707,2.8680000000000003
1279-7707,2.8680000000000003
1661-6499,2.0269999999999997
2211-3649,1.23
1745-6673,1.859
0892-7219,1.044
1687-8450,4.5280000000000005
1078-1552,1.9080000000000001
1943-0620,2.742
1943-0620,2.742
1472-6920,1.511
1471-2350,1.913
1471-2288,2.524
1471-2415,1.77
1471-2490,1.7919999999999998
0046-9939,0.348
2049-4394,3.5810000000000004
1438-7697,2.2
0223-5234,4.816
0949-2321,1.742
1436-6207,4.423
0340-6199,2.242
0967-0262,2.481
0967-0262,2.481
0720-048X,2.843
1746-1391,2.576
1022-1336,4.441
1905-7873,0.469
1475-2875,2.845
0938-8990,2.687
0305-1838,4.25
0025-1461,0.7140000000000001
0361-0853,0.063
0970-3950,0.611
1867-1616,2.077
1753-2000,2.033
1753-2000,2.033
0256-7040,1.235
1672-0415,1.3459999999999999
2095-6975,1.9909999999999999
0254-4059,0.7170000000000001
1671-7694,1.9480000000000002
0253-9837,3.525
1674-0068,0.586
1001-4861,0.654
0256-7679,2.016
1674-1137,3.298
1297-3203,1.14
0742-0528,2.6430000000000002
0185-3880,1.0490000000000002
0098-9134,0.752
0022-1430,3.2
2047-2978,4.195
2005-0380,3.34
0894-1130,1.04
0311-5518,1.033
1980-0436,0.644
0301-0546,1.6440000000000001
1323-8930,4.0360000000000005
1710-1484,2.051
0002-9092,2.457
1062-3264,2.055
0894-8275,0.76
0002-9254,1.765
0278-2391,1.7790000000000001
1546-2234,0.7440000000000001
0022-328X,1.946
2309-4990,0.9940000000000001
1916-0216,1.704
0885-3924,3.2489999999999997
1096-6218,2.49
0743-7315,1.815
2048-7193,2.456
2048-7193,2.456
0334-018X,1.0859999999999999
1985-1944,0.7240000000000001
0125-877X,0.976
1759-0914,3.617
0303-1179,0.812
1366-8781,0.29100000000000004
0067-0049,8.561
0924-977X,4.129
0924-977X,4.129
1434-6044,5.172000000000001
1434-6060,1.393
1612-9199,0.568
1128-3602,2.387
1867-0717,1.758
1687-5281,1.7369999999999999
0915-1559,1.35
0021-1753,1.07
0792-156X,0.439
0334-9152,0.304
1520-9202,1.618
0004-5411,1.744
0004-5411,1.744
0009-7330,15.210999999999999
0009-7330,15.210999999999999
0278-081X,1.9980000000000002
1941-9651,6.221
1941-7705,5.0360000000000005
1941-3289,5.684
0009-7322,18.88
1369-7137,2.807
1389-2576,1.455
0534-0012,0.392
0831-2796,1.892
1474-760X,13.214
0985-3111,1.0490000000000002
1468-8115,2.54
0149-0451,1.433
1266-5304,0.596
0169-555X,3.3080000000000003
0016-8033,2.3680000000000003
2193-0856,1.319
1072-6349,2.406
2049-825X,1.641
0016-8505,2.9819999999999998
0002-1121,0.612
1552-4841,3.016
0002-9440,4.069
0363-6119,3.082
1931-857X,3.1639999999999997
0749-3797,4.127
2100-9619,0.0
0010-9525,0.444
1631-073X,0.515
1040-8444,5.313
2095-5421,2.658
0261-2194,1.92
0143-2044,0.79
1994-0416,4.524
1994-0416,4.524
1528-7483,3.972
1528-7483,3.972
1309-1042,2.1519999999999997
1530-261X,1.198
0092-640X,4.441
1063-4258,0.28800000000000003
1044-5110,1.189
1420-3030,2.0780000000000003
1036-7314,1.93
1036-7314,1.93
0045-0421,1.494
0813-0531,0.511
1038-5282,0.858
1326-0200,1.889
1030-1887,1.614
0815-3191,1.0070000000000001
1470-9589,0.9570000000000001
1368-4221,1.1520000000000001
0012-9682,3.75
2150-8925,2.6710000000000003
0169-4243,1.0390000000000001
0021-8464,1.936
1054-139X,4.098
1881-3054,0.503
0309-2402,2.267
0021-8502,2.281
0021-8502,2.281
1187-7863,1.24
0219-4988,0.6
0368-492X,0.98
2156-2261,0.425
0342-3026,0.21600000000000003
2214-109X,18.705
2215-0374,15.232999999999999
1085-3278,7.27
2115-8789,0.368
2509-2715,
0017-0011,0.621
2351-9894,2.174
1466-822X,5.957999999999999
0282-0080,2.548
0095-8956,0.878
1090-0268,2.592
0920-654X,2.356
1066-5277,1.1909999999999998
0021-9991,2.864
0022-0000,1.4969999999999999
0022-0019,0.512
0733-9364,2.201
0733-9364,2.201
0122-5383,0.24100000000000002
1752-8054,1.954
1573-4110,1.0
1567-1739,2.0580000000000003
1523-3804,2.56
1568-0096,2.6260000000000003
1570-162X,1.5619999999999998
1943-0604,2.889
1932-4545,3.5
1943-068X,0.897
1943-068X,0.897
0018-9340,3.052
0278-0070,2.089
1063-6706,8.415
1057-7149,5.071000000000001
0018-9448,2.187
0278-0062,6.131
0278-0062,6.131
0018-9480,3.176
1536-125X,2.8569999999999998
1110-1768,0.163
1942-9533,0.261
1040-0397,2.8510000000000004
0272-6343,0.457
1083-589X,0.531
0717-3458,1.881
1537-9582,0.7390000000000001
1935-9179,0.75
2079-9292,2.11
0261-4189,10.557
1137-6821,3.608
1530-891X,3.805
1575-0922,1.268
0013-726X,6.629
0378-7788,4.457
1570-646X,1.6340000000000001
1570-646X,1.6340000000000001
0144-5987,1.204
0887-0624,3.0239999999999996
1445-8330,2.033
2327-3798,2.086
0743-7463,3.7889999999999997
0743-7463,3.7889999999999997
0898-1507,0.305
0263-0346,1.272
1863-8880,8.529
1679-7825,0.905
0210-9778,0.3
0889-1591,6.306
0889-1591,6.306
0894-1912,1.088
0278-0372,1.119
1533-5399,1.7269999999999999
1553-3077,0.927
1559-1131,1.163
2373-9878,4.4319999999999995
1948-7193,4.211
2472-3452,
2380-8195,12.277000000000001
2330-4022,6.88
2330-4022,6.88
2379-3694,5.711
2379-3694,5.711
2161-5063,5.316
0001-5113,0.725
0139-3006,0.384
0044-5967,0.8370000000000001
0001-5172,2.27
0065-1036,0.47600000000000003
0001-5237,3.667
1726-569X,0.28800000000000003
0120-548X,0.525
1742-7061,6.382999999999999
0365-0588,0.588
0102-8650,0.9329999999999999
0894-6507,1.3359999999999999
0894-6507,1.3359999999999999
1053-587X,4.203
2156-342X,2.955
0885-3010,2.7039999999999997
0018-9545,4.4319999999999995
1756-8722,7.332999999999999
1868-6974,2.877
2193-8407,0.462
1434-5161,2.9419999999999997
0733-9429,2.08
1088-1980,4.356
1088-1980,4.356
1088-1980,4.356
1759-0787,0.745
0217-751X,1.291
1107-3756,2.784
2092-6782,0.93
1461-1457,3.9810000000000003
0961-5539,2.45
0894-3370,0.816
1053-5381,0.469
1748-3735,1.3330000000000002
1559-9612,0.882
1674-2818,4.138
1746-0689,0.7040000000000001
1746-0689,0.7040000000000001
1573-3149,1.1320000000000001
1110-662X,1.547
1058-5893,1.45
0749-6419,5.502000000000001
2288-6206,3.7739999999999996
2317-4889,1.25
0100-879X,1.492
1679-8759,0.9470000000000001
1516-635X,0.46299999999999997
0103-0752,0.8190000000000001
0960-9776,2.951
1661-3791,2.028
1344-7610,1.5590000000000002
2041-2649,3.783
0007-1668,1.0959999999999999
0360-1323,4.539
0364-5916,1.935
2052-5206,6.4670000000000005
2052-5206,6.4670000000000005
0374-1036,0.561
2213-5812,0.738
1359-6454,6.0360000000000005
0001-5970,2.113
0412-1961,0.7040000000000001
1217-8950,1.107
0009-9120,2.5839999999999996
0268-0033,1.8630000000000002
0268-0033,1.8630000000000002
1526-8209,2.7030000000000003
1531-0043,1.3159999999999998
1173-2563,1.9180000000000001
1550-0594,1.807
0954-7894,5.1579999999999995
1064-1963,1.367
1976-8710,1.442
1440-1681,2.092
1558-7673,2.539
0749-0690,2.378
1058-4838,9.117
0749-8047,3.2089999999999996
1525-7304,4.204
0303-8467,1.736
0303-8467,1.736
0722-5091,1.015
0009-9201,1.331
0095-5108,2.915
0095-5108,2.915
0312-5963,4.4639999999999995
1866-6892,1.6769999999999998
0141-8955,4.092
1000-324X,0.49
0892-7553,0.966
1366-638X,1.5619999999999998
1748-0221,1.258
1044-1549,3.785
1044-1549,3.785
1073-449X,15.239
0002-9637,2.5639999999999996
0003-004X,2.645
2167-8421,2.9819999999999998
1137-6627,0.622
1224-1784,0.452
0003-2409,5.431
1618-2642,3.307
1618-2642,3.307
0003-2697,2.275
2210-7177,1.574
1948-206X,1.7480000000000002
1447-6959,1.33
1049-5398,0.9279999999999999
1976-8354,0.544
1060-152X,0.61
1477-5131,1.935
1075-2617,1.969
0893-2190,0.9490000000000001
0743-8346,2.1830000000000003
0022-3573,2.309
1011-1344,3.165
0047-2689,3.51
0047-2689,3.51
0142-7873,1.8969999999999998
1861-3829,0.622
1752-9921,1.9369999999999998
1125-4653,0.9440000000000001
2000-656X,1.1
0887-6266,2.499
1091-028X,1.061
1077-5552,7.105
0168-8162,1.929
1064-1297,2.354
1226-3613,5.584
0014-4894,1.821
1746-0441,4.692
1742-5255,3.1510000000000002
1465-6566,3.475
1354-3776,2.867
1747-4124,2.963
1743-4440,2.094
0812-3985,0.95
1550-8307,0.991
1431-0651,2.0
1389-9600,1.943
1389-9600,1.943
0742-3225,1.14
1091-7527,1.077
8756-758X,2.533
1230-3666,0.5770000000000001
0015-1882,0.14
1080-0549,6.442
0902-0063,1.518
0902-0063,1.518
1556-6811,2.872
1386-7857,1.601
0378-3839,2.674
1342-937X,5.657
0202-2893,0.87
1096-6374,2.369
1976-2283,2.8489999999999998
1303-5010,0.5579999999999999
0390-6078,9.09
0722-1819,0.513
1836-0939,1.371
1806-9614,0.991
1344-3941,1.402
0091-7370,0.8
1476-0711,3.155
1040-1237,1.4669999999999999
0003-4266,1.444
2008-8752,0.455
1744-859X,1.915
1874-4672,2.481
1570-159X,4.0680000000000005
1567-2026,1.716
1363-1950,4.534
2214-5745,4.171
0951-7367,4.266
1359-0286,6.547999999999999
1570-1646,0.606
1808-2882,0.205
0959-1524,2.787
1938-663X,0.083
0005-1179,0.562
0005-1179,0.562
1554-8627,11.1
0307-9457,2.0540000000000003
1011-3924,0.872
0239-7528,1.361
0037-1106,2.343
1439-1791,2.144
0950-091X,3.886
0005-2728,4.28
1874-9399,5.178999999999999
0925-4439,5.1080000000000005
1388-1981,4.966
0949-2984,1.75
1067-151X,2.638
2327-6886,1.136
2047-9980,4.45
1067-5027,4.27
1067-5027,4.27
1544-3191,1.315
8750-7315,0.445
1044-0305,2.8689999999999998
0162-1459,2.2969999999999997
2164-4535,0.599
1061-9348,0.971
0146-4760,2.5989999999999998
0021-8782,2.479
0931-2439,1.607
0921-8971,2.401
1056-6171,1.064
0957-4824,1.8659999999999999
0147-9563,1.73
1098-3511,0.364
1064-2285,0.40399999999999997
0145-7632,1.216
1438-387X,0.9490000000000001
0018-019X,1.081
1751-2972,1.6230000000000002
1545-9616,1.527
1079-2724,0.693
1040-7294,1.131
1674-487X,1.5
1335-3632,0.508
1385-3449,1.238
2093-8551,0.966
1050-6411,1.568
1017-9909,0.78
1043-4666,3.514
0095-4527,0.239
0011-4545,0.48100000000000004
1212-1819,0.955
1384-5810,2.481
1641-1307,0.7609999999999999
0287-4547,1.205
1751-9632,1.087
1751-8644,3.2960000000000003
1751-9675,1.25
2228-6160,0.514
0272-4960,1.369
1368-2199,0.366
0093-7711,2.094
0019-2805,3.358
0019-5022,0.231
1045-2249,3.347
1045-2249,3.347
0340-5443,2.4730000000000003
0144-929X,1.38
0953-4180,2.088
0735-7044,2.5069999999999997
0013-791X,2.0
0305-215X,1.6219999999999999
0145-5613,1.01
1610-3653,3.125
2211-4645,2.344
1387-585X,1.379
1387-585X,1.379
1352-8505,0.8290000000000001
1582-9596,1.334
1226-1025,1.5
1567-7419,1.8459999999999999
0161-8202,1.236
1076-9757,1.2570000000000001
0022-4901,1.591
0022-5193,1.8330000000000002
0022-5193,1.8330000000000002
1388-6150,2.209
0306-4565,2.093
0022-5223,4.88
2072-1439,1.804
0929-5305,2.62
1932-6254,4.0889999999999995
1932-6254,4.0889999999999995
1793-5253,0.653
1095-5674,1.119
1528-7394,2.7060000000000004
1006-8775,0.28800000000000003
1468-5248,1.57
1468-5248,1.57
1051-0443,2.758
0972-9062,0.8859999999999999
0022-0795,4.012
1526-6028,2.7319999999999998
0094-4289,0.828
0022-0833,1.099
1810-2328,0.767
0254-8704,0.727
0001-6349,2.6489999999999996
2211-3835,6.013999999999999
1671-4083,3.562
0587-4246,0.857
1000-3290,0.669
0001-706X,2.509
0001-7213,0.42200000000000004
0236-6290,1.042
0001-723X,0.696
0210-4806,1.26
0964-5284,2.275
1687-7969,1.209
0065-2318,3.429
0951-7197,1.063
0971-5916,1.508
0905-6947,4.396
1750-9378,2.123
1151-0285,0.848
0921-0296,1.5830000000000002
1079-9907,2.419
1607-9264,1.301
1383-875X,1.5219999999999998
0021-4876,0.312
1346-8804,0.631
1011-8934,1.588
2005-3711,0.86
0374-4884,0.493
0362-4803,1.423
1476-069X,4.376
1462-2912,4.974
1420-2026,1.117
0167-6369,1.804
0013-9351,4.732
1748-9326,4.541
1462-9011,3.826
2053-1400,3.6489999999999996
1520-4081,2.491
0020-7608,2.568
0140-7007,3.233
1096-4290,1.306
1049-8923,3.8560000000000003
1365-1609,2.8360000000000003
1726-4529,1.942
1526-484X,2.489
1939-1676,2.185
0140-7783,1.4409999999999998
1077-5463,2.197
0022-538X,4.368
0166-0934,1.756
0166-0934,1.756
1878-7886,2.29
1343-8875,0.971
0008-3674,2.565
0008-4042,1.084
2291-2797,1.6219999999999999
0008-4166,1.2429999999999999
0317-1671,2.006
1538-4047,3.373
1109-6535,2.432
2326-6066,9.187999999999999
0144-8617,5.1579999999999995
2199-160X,5.466
1616-301X,13.325
1616-301X,13.325
2095-3127,1.706
0935-9648,21.95
1389-0417,1.425
0010-0757,1.035
0963-5483,0.705
0010-2180,4.494
0010-2180,4.494
1364-7830,1.744
0001-0782,3.063
1007-5704,3.181
0010-3640,3.386
0253-6102,1.178
1095-6433,2.258
1095-6433,2.258
0741-5400,4.224
0022-2275,4.505
0955-792X,0.74
1053-1807,3.612
0022-2372,2.1390000000000002
2376-0540,2.464
0939-5555,2.845
1424-0637,1.74
0373-3114,1.0659999999999998
1082-720X,1.5619999999999998
0914-7187,1.656
0250-6807,3.051
0003-4894,1.5130000000000001
1060-0280,2.765
0003-4967,12.35
0003-4932,9.203
1068-9265,3.8569999999999998
1341-1098,0.94
1425-9524,1.054
1936-1327,8.756
0084-6597,11.390999999999998
1749-785X,0.841
1749-785X,0.841
1066-8969,1.188
