First Author,Other Authors,Article Title,Date of Publication,Type of Publication,Publication,Volume (issue),ISSN,Archive,References Viewable?,Order Article?,ACL Citations,Keywords,DOI / HTML Address,Journal Impact Factor (uses ResearchGate data),Journal Impact Factor (Clarivate),Search Engine Ranking,Unique Site Visits (monthly),Pages per Visit,Views (Not Including Downloads),Citations,Downloads,"AltMetric (Shares, Likes, Comments)",Date Located,IMPACT_FACTOR
"Morken, L.","Warner, M.",Planning for the Aging Population: Rural Responses to the Challenge,2012-10-01 00:00:00,Research Brief,National Association of Area Agencies on Aging,,,Amazon Web Services,Yes,N,"Best Practices in Service Delivery to the Rural Elderly: A Report to the Administration on Aging [AoA, WVU Center on Aging];
The 2004 Survey of Adult Protective Services: Abuse of Adults 60 Years of Age and Older [AoA, NCEA];
Fact Sheet: Elder Abuse Prevalence and Incidence [AoA, NCEA]","""NSOAAP""",http://s3.amazonaws.com/mildredwarner.org/attachments/000/000/196/original/5a05087ac5578fa1f3cbf7b4fcefb24a,,,,36710000,2.19,,,,,2018-06-28,
"Campbell, A. D.","Godfryd, A., Buys, D. R., & Locher, J. L.",Does Participation in Home-Delivered Meals Programs Improve Outcomes for Older Adults? Results of a Systematic Review,2015-06-24 00:00:00,Journal,Journal of Nutrition in Gerontology and Geriatrics,34(2),2155-1197,T and F Online,Yes,,"Nutrition Services (OAA Title IIIC) [ACL, web];
Serving Elders at Risk. The Older Americans Act Nutrition Programs: National Evaluation of the Elderly Nutrition Program 1993-1995. Volume II: Title VI Evaluation Findings [AoA, Mathematica];
Serving Elders at Risk. The Older Americans Act Nutrition Programs: National Evaluation of the Elderly Nutrition Program 1993-1995. Volume I: Title III Evaluation Findings [AoA, Mathematica];
Aging in Place: Do Older Americans Act Title III Services Reach Those Most Likely to Enter Nursing Homes? Administration on Aging Research Brief Number 1 [AoA];
Multiple Service Use Among OAA Title III Program Participants. Administration on Aging Research Brief Number 3 [AoA];
OAA Title III Services Target the Most Vulnerable Elderly in the United States. Administration on Aging Research Brief Number 2 [AoA];
Administration on Aging Evaluation of the Title III-C Elderly Nutrition Program [AoA]","""State Program Reports"" AND ""OAA"" ",https://doi.org/10.1080/21551197.2015.1038463,2.0,,,,,1066.0,16.0,,456.0,2018-06-27,
"O'Shaughnessy, C.",,Older Americans Act of 1965: Programs and Funding,2012-02-23 00:00:00,Research Brief,National Health Policy Forum,,,Himmelfarb,Yes,,"Justification of Estimates for Appropriation Committee, FY 2012 [AoA];
National Aging Program Information System (NAPIS);
Supporting Family Caregivers Through Title III of the OAA [AoA, Mathematica]","""NAPIS""",https://hsrc.himmelfarb.gwu.edu/sphhs_centers_nhpf/250/,,,,7012,1.63,49.0,,82.0,,2018-07-02,
"O'Shaughnessy, C.",,The Aging Services Network: Accomplishments and Challenges in Serving a Growing Elderly Population,2008-04-11 00:00:00,Research Brief,National Health Policy Forum,,,George Washington University,Yes,,"National Aging Program Information System (NAPIS);
State Program Reports (SPR);
FY 2006 U. S. Profile of OAA Programs [AoA];
Highlights from the Pilot Study: Second National Survey of Older Americans Act Title III Service Recipients [AoA];
Draft Final Report for the Evaluation of Select Consumer, Program, and System Characteristics under the Supportive Services Program (Title III-B) of the Older Americans Act [AoA];
Evaluation of the Select Consumer, Program, and System Characteristics under the Supportive Service Program (Title III-B) of the Older Americans Act: Interim Quantitative Report, June 2006 [AoA];
Highlights from the Pilot Study [AoA];
Aging Integrated Database (AGID): National Survey of OAA Programs, FY 2005, unpublished data [AoA];
Estimated Unduplicated Count of Persons Served under Title III of the OAA, Fiscal Year: 10/01/2005 - 9/30/2006. 2006 State Program Reports (SPR) [AoA];
Serving Elders at Risk: The Older Americans Act Nutrition Programs -- National Evaluation of the Elderly Nutrition Program, 1993-1995 [AoA];
Evaluation of Title III-C Nutrition Services and Title VI Native American Nutrition, Supportive and Family Caregiver Services Programs -- Begun Summer 2005 [AoA];
Assessment of Title III-D of the Older Americans Act: Disease Prevention and Health Promotion Services [AoA];
National Ombudsman Reporting System (NORS);
Redirecting Public Long-Term Care Resources [AoA];
Abuse of Adults Aged 60+: 2004 Survey of Adult Protective Services Fact Sheet [AoA];
The 2004 Survey of State Adult Protective Service: Abuse of Adults 60 Years and Older [AoA];
The Availability and Utility of Interdisciplinary Data on Elder Abuse: a White Paper for the National Center on Elder Abuse [AoA];
Aging and Disability Resource Centers: A Joint Program of the Administration on Aging & Centers for Medicare & Medicaid Services [AoA];
Nursing Home Diversion Modernization Grants Program [AoA];
Evidence-Based Disease Prevention Grants Program [AoA]","""State Program Reports"" AND ""OAA"" ",https://hsrc.himmelfarb.gwu.edu/sphhs_centers_nhpf/196/,,,,7012,1.63,22.0,,43.0,,2018-06-27,
"O'Shaughnessy, C. V.",,The Aging Services Network: Serving a Vulnerable and Growing Elderly Population in Tough Economic Times,2011-12-13 00:00:00,Research Brief,National Health Policy Forum,,,Himmelfarb,Yes,,"FY 2012 Budget Justifications [AoA];
National Aging Program Information System (NAPIS) 2010 Reports;
Aging in Place: Do Older Americans Act Title III Services Reach Those Most Likely to Enter Nursing Homes? Research Brief Number 1 [AoA, Mathematica];
OAA Title III Services Target the Most Vulnerable Elderly in the United States [AoA, Mathematica];
Multiple Service Use Among OAA Title III Program Participants [AoA, Mathematica];
Multiple Chronic Conditions Among OAA Title III Program Participants [AoA, Mathematica];
Draft Final Report for the Evaluation of Select Consumer, Program, and System Characteristics under the Supportive Services Program (Title III-B) of the Older Americans Act [AoA];
Results from the Administration on Aging's Third National Survey of Older Americans Act Program Participants (NSOAAP) [AoA];
Administration on Aging Announces New National Resource Center on Nutrition and Aging [AoA, press];
Serving Elders at Risk, the Older Americans Act Nutrition Programs -- National Evaluation of the Elderly Nutrition Program, 1993-1995 [AoA, Mathematica];
Evaluation of Title III-C Nutrition Services and Title VI Native American Nutrition, Supportive and Family Care Service Programs [AoA];
Supporting Family Caregivers through Title III of the OAA. Research Brief Number 5 [AoA, Mathematica];
Assessment of Title III-D of the Older Americans Act: Disease Prevention and Health Promotion Services [AoA];
Real People, Real Problems: an Evaluation of the Long-Term Care Ombudsman Programs of the Older Americans Act [AoA];
What is Elder Abuse? [AoA];
The 2004 Survey of State Adult Protective Service: Abuse of Adults 60 Years and Older [AoA];
The Availability and Utility of Interdisciplinary Data on Elder Abuse: A White Paper for the National Center on Elder Abuse [AoA];
Administration on Aging Funds First National Adult Protective Services Resource Center [AoA]","""NAPIS""",https://hsrc.himmelfarb.gwu.edu/cgi/viewcontent.cgi?referer=https://scholar.google.com/&httpsredir=1&article=1251&context=sphhs_centers_nhpf,,,,7012,1.63,,,,,2018-06-28,
"Marier, P.",,Aging Strategies in the United States,2009-08-20 00:00:00,Conference Paper,RC 19 Meeting,,,University of Montreal,Yes,,Modernizing Older Americans Act Programs [AoA],"""NORS"" AND ""OAA""",http://www.cccg.umontreal.ca/Rc19/PDF/Marier-P_Rc192009.pdf,,,,< 5.000,1.37,,,,,2018-06-27,
"DiMaria-Ghalili, R. A.","Laverty, N., Baron, K., & Nasser, J. A.",Benchmarking a Home-Delivered Meal Program's Annual Satisfaction Survey: A Metropolitan Area Neighborhood Nutrition Alliance (MANNA) Initiative in Philadelphia,2015-06-24 00:00:00,Journal,Journal of Nutrition in Gerontology and Geriatrics,34(2),2155-1197,T and F Online,Yes,,Performance Measurement Toolkit. Contract No.233–02-0087 [AoA],"""AGID"" AND ""ACL"" AND ""NSOAAP""",https://doi.org/10.1080/21551197.2015.1035824,2.0,,,,,354.0,2.0,,0.0,2018-06-19,
"Gergerich, E.","Shobe, M. & Christy, K.",Sustaining Our Nation's Seniors through Federal Food and Nutrition Programs,2015-08-12 00:00:00,Journal,Journal of Nutrition in Gerontology and Geriatrics,34(3),2155-1197,T and F Online,Yes,,"Aging into the Twenty-First Century [AoA];
A Profile of Older Americans: 2005 [AoA];
Nutrition Services: OAA: Title IIIC [AoA, web];
OAA title III services target the most vulnerable Elderly in the United States. Administration on Aging Research Brief No. 2 [AoA];
Results from the Administration on Aging's third national survey of older Americans act program participants. Contract No. CSD-AOA01–00068-000 [AoA];
Aging Integrated Database (AGID);
A Profile of Older Americans: 2012 [AoA, web];
Minority Aging [AoA, web]","""AGID"" AND ""ACL""",https://doi.org/10.1080/21551197.2015.1054572,2.0,,,,,629.0,4.0,,0.0,2018-06-19,
"Lee, J. S.","Johnson, M. A., & Brown, A.",Older Americans Act Nutrition Program Improves Participants' Food Security in Georgia,2011-05-18 00:00:00,Journal,Journal of Nutrition in Gerontology and Geriatrics,30(2),2155-1197,T and F Online,Yes,,"Administration on Aging Nutrition Services (OAA Title IIIC) [AoA];
Performance Outcomes Measurement Project (POMP) 2005 [AoA];
Performance Outcomes Measurement Project (POMP) 5 Home Delivered Meals Extended Core Survey (Phone Version: April 19, 2004) [AoA];
Performance Outcomes Measures Project Archive [AoA];
Unofficial Compilation of the Older Americans Act of 1965, as Ammended in 2006 (Public Law 109-365) [AoA]",,https://doi.org/10.1080/21551197.2011.566526,2.0,,,,,312.0,20.0,,0.0,2018-07-06,
"Harris-Wehling, J.","Feasley, J. C., & Estes, C. L.",Overview of the Older Americans Act long-Term Care Ombudsman Program,1995,Book,Real People Real Problems: An Evaluation of the Long-Term Care Ombudsman Programs of the Older Americans Act,,,NCBI,Yes,N,Unclear - Broad Citation of AoA without specific sources,"""NORS"" AND ""OAA""",https://www.ncbi.nlm.nih.gov/books/NBK231094/,,,,60170000,2.87,,,,,2018-06-27,
"Lee, J. S.","Shannon, J., & Brown, A.",Characteristics of Older Georgians Receiving Older Americans Act Nutrition Program Services and Other Home- and community-Based Services: Findings from the Georgia Aging Information Management System (GA AIMS),2015-06-24 00:00:00,Journal,Journal of Nutrition in Gerontology and Geriatrics,34(2),2155-1197,T and F Online,Yes,,"FY 2012 Report to Congress [AoA];
Performance Outcomes Measures Project (POMP);
NASUA State Aging Information Systems Management Study Final Report [AoA];
Exploratory Study of the Global Outcomes of the Older Americans Act Programs and Services Final Report [Lewin Group, AoA];
Unofficial Compilation of the Older Americans Act of 1965, as Amended in 2006 [AoA];
A Profile of Older Americans: 2013 [AoA];
Aging Integrated Database (AGID) [Profile of State OAA Programs: Georgia];
Aging Integrated Database (AGID) [Profile of State OAA Programs: 10 States + DC & Territories];
Results from the Administration on Aging's Third National Survey of Older Americans Act Program Participants [Mathematica, AoA];
Multiple Service Use Among OAA Title III Program Participants. Administration on Aging Research Brief Number 3 [AoA]
","""AGID"" AND ""ACL""",https://doi.org/10.1080/21551197.2015.1031595,2.0,,,,,427.0,6.0,,0.0,2018-06-19,
"Lloyd, J. L.","Wellman, N. S.",Older Americans Act Nutrition Programs: A Community-Based Nutrition Program Helping Older Adults Remain at Home,2015-06-24 00:00:00,Journal,Journal of Nutrition in Gerontology and Geriatrics,34(2),2155-1197,T and F Online,Yes,,"Profile of Older Americans: 2014 [ACL];
Historical Evolution of Programs for Older Americans [AoA, web];
Nutrition Services (OAA Title IIIC) [AoA, web];
Older Americans Act, Amended 2006 [AoA, web];
FY 2014 Funding Information [ACL, web];
2012 State Program Report (SPR);
2013 National Survey of Older Americans Act Participants (NSOAAP);
Administration on Aging Evaluation of the Title III-C Elderly Nutrition Program [AoA]","""AGID"" AND ""ACL""",https://doi.org/10.1080/21551197.2015.1031592,2.0,,,,,2829.0,10.0,,137.0,2018-06-19,
"Myles, T.","Starr, K. N. P., Johnson, K. B., Lee, J. S., Fischer, J. G., & Johnson, M. A.",Food Insecurity and Eating Behavior Relationships Among Congregate Meal Participants in Georgia,2016-02-17 00:00:00,Journal,Journal of Nutrition in Gerontology and Geriatrics,35(1),2155-1197,T and F Online,Yes,,No,,https://doi.org/10.1080/21551197.2015.1125324,,,,,,223.0,1.0,,,2018-07-05,
"Maier, J.","Wiener, J. M., & Gage, B.","Case Studies of Health Promotion in the Aging Network: Area Agency on Aging, Region One, Maricopa County, Arizona",2006-01-01 00:00:00,Research Brief,RTI International,,,Penn State University,Yes,,PRODUCED BY ACL,"""NAPIS""",http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.492.9554&rep=rep1&type=pdf,,,,5306000,2.23,,,,,2018-07-02,
,,Assessing Long Term Care and Policy Options in Hawaii: Technical and Business Proposal,2009-07-20 00:00:00,Research Brief,RTI International,,,Penn State University,Yes,,Aging and Disability Resource Centers: Backgrounds [AoA],"""NAPIS""",http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.509.1493&rep=rep1&type=pdf,,,,5306000,2.23,,,,,2018-07-02,
"Wacker, R. R.","Roberto, K. A.",Community Resources for Older Adults: Programs and Services in an Era of Change,2013-03-14 00:00:00,Book,SAGE Publications,,,Google Books,Yes,,"National Family Caregiver Support Program (OAA Title IIIE) [AoA, web];
Nutrition Services (OAA Title IIIC) [AoA, web];
Services for Native Americans (OAA Title VI) [AoA, web];
Facts: Long-Term Care Ombudsman Program [AoA, web];
FY 2004 Profile of the United States OAA Program [AoA];
FY 2010 Profile of State OAA Program: United States: Part F Service Profile [AoA];
Latest News: President's Council on Physical Fitness and Sports 50th Anniversary Partner Invitation to get America Moving [AoA, press];
State Program Reports (SPR) 2010;
Title VI Services by Tribal Organization","""Title VI Services by Tribal Organization""",https://books.google.com/books?id=wjdmCQAAQBAJ&dq=%22Title+VI+Services+by+Tribal+Organization%22+AND+%22data%22&source=gbs_navlinks_s,,,,29450000,2.0,,,,,2018-06-28,
"Sattler, E. L. P.","Lee, J. S., & Young, H. N.",Factors Associated with Inpatient Hospital (Re)admissions in Medicare Beneficiaries in Need of Food Assistance,2015-06-24 00:00:00,Journal,Journal of Nutrition in Gerontology and Geriatrics,34(2),2155-1197,T and F Online,Yes,,No,,https://doi.org/10.1080/21551197.2015.1031601,,,,,,573.0,2.0,,3.0,2018-07-05,
"Sanchez, T. W.","Bania, N., & Leete, L.",Rural Public Transportation: Using Geographic Information Systems to Guide Service Planning,2002-06-01 00:00:00,Research Brief,Transportation Northwest Regional Center,,,NC Watch,Yes,,National Aging Program Information System (NAPIS),"""NAPIS""",http://ncwatch.typepad.com/media/files/RuralTransit.pdf,,,32888998,"< 5,000",1.37,,,,,2018-07-02,
"Wright, L.","Vance, L., Sudduth, C., & Epps, J. B.","The Impact of a Home-Delivered Meal Program on Nutritional Risk, Dietary Intake, Food Security, Loneliness, and Social Well-Being",2015-06-24 00:00:00,Journal,Journal of Nutrition in Gerontology and Geriatrics,34(2),2155-1197,T and F Online,Yes,,No,,https://doi.org/10.1080/21551197.2015.1022681,,,,,,1793.0,6.0,,210.0,2018-07-05,
"Lloyd, J. L.",,Support for Nutrition From the Older Americans Act Programs: A Clarification on Its 40th Anniversary,2013-03-01 00:00:00,Journal,Journal of Nutrition in Gerontology and Geriatrics,32(1),2155-1197,T and F Online,Yes,,No,,https://doi.org/10.1080/21551197.2012.729903,,,,,,84.0,1.0,,,2018-07-06,
"Sattler, E. L. P.","Lee, J. S.",Persistent Food Insecurity is Associated with Higher Levels of Cost-Related Medication Nonadherence in Low-Income Older Adults,2013-03-01 00:00:00,Journal,Journal of Nutrition in Gerontology and Geriatrics,32(1),2155-1197,T and F Online,Yes,,No,,https://doi.org/10.1080/21551197.2012.722888,,,,,,379.0,19.0,,5.0,2018-07-06,
"Springstoh, K. A.","Gal, N. J., Ford, A. L., Whiting, S. J., & Dahl, W. J.",Evaluation of Handgrip Strength and Nutritional Risk of Congregate Nutrition Program Participants in Florida,2016-08-25 00:00:00,Journal,Journal of Nutrition in Gerontology and Geriatrics,35(3),2155-1197,T and F Online,Yes,,"Nutrition Services [ACL, web];
Older Americans Act (OAA) [AoA, web];
Aging Integrated Database (AGID);
Research Brief: Older Americans Benefit from Older Americans Act Nutrition Programs [ACL]","""AGID"" AND ""ACL""",https://doi.org/10.1080/21551197.2016.1209146,2.0,,,,,104.0,4.0,,1.0,2018-06-19,
"Starr, K. P.","Fischer, J. G., & Johnson, M. A.","Eating Behaviors, Mental Health, and Food Intake are Associated with Obesity in Older Congregate Meal Participants",2014-11-25 00:00:00,Journal,Journal of Nutrition in Gerontology and Geriatrics,33(4),2155-1197,T and F Online,Yes,,FY 2011 Report to Congress [AoA],,https://doi.org/10.1080/21551197.2014.965375,2.0,,,,,277.0,6.0,,0.0,2018-07-06,
"Teems, J.","Hausman, D. B., Fischer, J. G., Lee, J. S., & Johnson, M. A.",Older Adults Attending Georgia Senior Centers Increase Preventive Behaviors for Falls and Fractures Following a Community-Based Intervention,2011-02-18 00:00:00,Journal,Journal of Nutrition in Gerontology and Geriatrics,30(1),2155-1197,T and F Online,Yes,,FY 2006 US Profile of OAA Programs [AoA],,https://doi.org/10.1080/01639366.2011.545042,2.0,,,,,259.0,5.0,,0.0,2018-07-06,
"Thomas, K. S.",,Outcomes Matter: The Need for Improved Data Collection and Measurement in Our Nation's Home-Delivered Meals Program,2015-06-24 00:00:00,Journal,Journal of Nutrition in Gerontology and Geriatrics,34(2),2155-1197,T and F Online,Yes,,"Aging Integrated Database (AGID);
Performance Outcome Measurement Project (POMP) Toolkit","""AGID"" AND ""ACL""",https://doi.org/10.1080/21551197.2015.1031591,2.0,,,,,428.0,2.0,,0.0,2018-06-19,
"Vaudin, A.","Sahyoun, N. R.",Food Anxiety Is Associated with Poor Health Status Among Recently Hospital-Discharged Older Adults,2015-06-24 00:00:00,Journal,Journal of Nutrition in Gerontology and Geriatrics,34(2),2155-1197,T and F Online,Yes,,"National Survey of Older Americans Act Participants (NSOAAP);
FY 2014 Justification of Estimates for Appropriations Committees [ACL]","""AGID"" AND ""ACL""",https://doi.org/10.1080/21551197.2015.1035825,2.0,,,,,466.0,4.0,,1.0,2018-06-19,
"Weddle, D.","Wilson, F. L., Berkshire, S. D., & Heuberger, R.",Evaluating Nutrition Risk Factors and Other Determinants of Use of an Urban Congregate Meal Program by Older African Americans,2012-02-15 00:00:00,Journal,Journal of Nutrition in Gerontology and Geriatrics,31(1),2155-1197,T and F Online,Yes,,"Elderly Nutrition Program Fact Sheet [AoA];
A Profile of Older Americans: 2009 [AoA, web];
Aging Statistics [AoA, web]",,https://doi.org/10.1080/21551197.2012.647555,2.0,,,,,310.0,6.0,,1.0,2018-07-06,
"Dorris, C.",,A History of the Long-Term Care Ombudsman Program in America: A Changing Aging Population,2017,Research Brief,Uknowledge,,,University of Kentucky,Yes,,Long-Term Care Ombudsman: Fact Sheet [AoA],"""NORS"" AND ""OAA""",https://uknowledge.uky.edu/cgi/viewcontent.cgi?article=1007&context=oswald,,,,85469,2.22,,,,,2018-06-27,
"Akobundu, U. O.",,"Short-Term Home-Delivered Meal Intervention and the Health, Nutrition and Functional Status of Hospital-Discharged Older Adults",2008,Academic Thesis,University of Maryland,,,University of Maryland,Yes,,"Results from the Administration on Aging's Third National Survey of Older Americans Act Program Participants (NSOAAP). Final Report, March 12, 2007 [AoA];
Choices for Independence: Modernizing the Older Americans Act [AoA];
Serving Elders at Risk: Older Americans Nutrition Program - National Evaluation of the Elderly Nutrition Program, 1993-1995 [AoA, Mathematica];
Aging and Disability Resource Center (ADRC) Demonstration Grant Initiative: Interim Outcomes Report [Lewin Group, ACL];
Celebrate Long-Term Living: Annual Report (2005) [AoA];
Highlights from the Pilot Study: Second National Survey of Older Americans Act Title III Service Recipients [AoA];
State Program Report (SPR): 1999, 2006;
Emotional Well-Being Survey. Performance Outcomes Measures Project (POMP) 4 [AoA];",,https://drum.lib.umd.edu/bitstream/handle/1903/8866/umi-umd-5901.pdf?sequence=1&isAllowed=y,,,,78086,,,,,,2018-07-20,
"Dabelko, H. I.","Gregoire, T.",The Role of Social Support in Adult Day Services Utilization,2008-10-16 00:00:00,Journal,Journal of Social Work in Long-Term Care,3(3-4),1533-2624,T and F Online,Yes,,No,"""NAPIS""",https://doi.org/10.1300/J181v03n03_13,,,,,,2.0,1.0,,,2018-07-02,
"Almanza, B. A.","Namkung, Y., Ismail, J. A., & Nelson, D. C.",Clients' Safe Food-Handling Knowledge and Risk Behavior in a Home-Delivered Meal Program,2007-05-01 00:00:00,Journal,Journal of the Academy of Nutrition and Dietetics,107(5),2212-2672,J and D Online,Yes,,"A Profile of Older Americans: 2004 [AoA];
State Program Reports (SPR) 2003","""State Program Reports"" AND ""OAA"" ",https://doi.org/10.1016/j.jada.2007.02.043,1.22,,,,,20.0,21.0,68.0,,2018-06-27,4.021
"Kretser, A. J.","Voss, T., Kerr, W. W., Cavadini, C., & Friedmann, J.",Effects of two models of nutritional intervention on homebound older adults at nutritional risk,2003-03-01 00:00:00,Journal,Journal of the Academy of Nutrition and Dietetics,103(3),2212-2672,J and D Online,Yes,,"State Program Reports (SPR);
Serving Elders at Risk. The Older Americans Act Nutrition Programs: National Evaluation of the Elderly Nutrition Program 1993-1995. Volume II: Title VI Evaluation Findings [AoA, Mathematica]","""State Program Reports"" AND ""OAA"" ",https://doi.org/10.1053/jada.2003.50052,1.22,,,,,43.0,55.0,84.0,,2018-06-27,4.021
"Namkung, Y.","Ismail, J. A., Almanza, B. A., & Nelson, D. C.",Mitigating the Risk of Food Handling in the Home-Delivered Meal Program,2007-02-01 00:00:00,Journal,Journal of the Academy of Nutrition and Dietetics,107(2),2212-2672,J and D Online,Yes,,"A Profile of Older Americans: 2004 [AoA];
2003 State Program Reports (SPR)","""State Program Reports"" AND ""OAA"" ",https://doi.org/10.1016/j.jada.2006.11.014,1.22,,,,,10.0,5.0,46.0,,2018-06-27,4.021
"Racine, E. F.","Lyerly, J., Troyer, J. L., Warren-Findlow, J., & McAuley, W. J.","The Influence of Home-Delivered Dietary Approaches to Stop Hypertension Meals on Body Mass Index, Energy Intake, and Percent of Energy Needs Consumed among Older Adults with Hypertension and/or Hyperlipidemia",2012-11-01 00:00:00,Journal,Journal of the Academy of Nutrition and Dietetics,112(11),2212-2672,JAND Online,Yes,,"Nutrition Services (OAA Title IIIC) [AoA, web];
Unofficial Compilation of the Older Americans Act of 1965 [AoA]",,https://doi.org/10.1016/j.jand.2012.06.358,1.22,,,,,,10.0,169.0,,2018-07-06,4.021
"Watts, M. L.",,Improving Nutrition for American Seniors: A New Look at the Older Americans Act,2005-04-01 00:00:00,Journal,Journal of the Academy of Nutrition and Dietetics,105(4),2212-2672,JAND Online,Yes,,Highlights from the Pilot Study: Second National Survey of Older Americans Act Title III Service Recipients -- Paper No. 2 [AoA],,https://doi.org/10.1016/j.jada.2005.02.024,1.22,,,,,4.0,3.0,50.0,,2018-07-09,4.021
"Jackson, M. Y.","Godfrey, F.",Federal Nutrition Services for American Indian and Alaskan Native Elders,1990-04-01 00:00:00,Journal,Journal of the American Dietetic Association,90(4),0002-8223,PubMed,No,Yes,,,https://www.ncbi.nlm.nih.gov/pubmed/2319079,0.03,,,,,,7.0,,,2018-07-05,
"Dong, X.",,Advancing the Field Elder Abuse: Future Directions and Policy Implications,2012-10-30 00:00:00,Journal,Journal of the American Geriatrics Society,60(11),0002-8614,PMC,No,,,,https://dx.doi.org/10.1111%2Fj.1532-5415.2012.04211.x,2.38,,,,,,33.0,,,2018-07-06,4.155
"Hasche, L.",,Exploring the Potential of Aging Network Services to Improve Depression Care,2009-01-01 00:00:00,Academic Thesis,Washington University in St. Louis,,,Open Scholarship,Yes,,National Aging Program Information System (NAPIS) FY 2006 U.S. Profile of OAA Programs,"""NAPIS""",https://openscholarship.wustl.edu/etd/143/,,,,64754,1.76,19.0,,135.0,,2018-07-02,
"O'Neill, D.","O'Keeffe, S.",Health Care for Older People in Ireland,2003-08-15 00:00:00,Journal,Journal of the American Geriatrics Society,51(9),0002-8614,Wiley Online Library,Yes,N,No,,https://doi.org/10.1046/j.1532-5415.2003.51414.x,,,,,,,11.0,,,2018-07-05,4.155
"Bass, D. M.","Judge, K. S., Snow, A. L., Wilson, N. L., Morgan, R., Looman, W. J., McCarthy, C. A., Maslow, K., Moye, J. A., Randazzo, R., Garcia-Maldonado, M., Elbein, R., Odenheimer, G., & Kunik, M. E.",Caregiver Outcomes of Partners in Dementia Care: Effect of a Care Coordination Program for Veterans with Dementia and Their Family Members and Friends,2013-07-19 00:00:00,Journal,Journal of the American Geriatrics Society,61(8),0002-8614,Wiley Online Library,No,Yes,,,https://doi.org/10.1111/jgs.12362,2.38,,,,,,25.0,,4.0,2018-07-05,4.155
"Cahill, S. R.",,Research and Policy Change to Improve Healthcare and Elder Services for LGBT Older Adults,2017-12-01 00:00:00,Journal,LGBT Health,4(6),2325-8292,Lieber Publications,No,,,"""NSOAAP""",https://doi.org/10.1089/lgbt.2017.0226,,2.514,,,,,,331.0,,2018-06-28,2.514
"Legendre-Sholl, C.",,"Gaps in Senior Services, Yolo County",2013-08-01 00:00:00,Research Brief,Yolo Healthy Aging Alliance,,,Yolo County,Yes,,"Projected Future Growth of Older Population [AoA];
National Center on Elder Abuse [AoA, web]","""National Survey of Area Agencies on Aging""",http://yoloagenda.yolocounty.org/docs/2013/BOS/20131008_154/1957_YHAA%20Assessment%20and%20Gaps%20in%20Service%20Report.pdf,,,,"< 5,000",4.83,,,,,2018-06-28,
"Adams, M.","Tax, A. D.",Assessing and Meeting the Needs of LGBT Older Adults via the Older Americans Act,2017-12-01 00:00:00,Journal,LGBT Health,4(6),2325-8292,Lieber Publications,No,Yes,,,https://doi.org/10.1089/lgbt.2016.0171,,2.514,,,,,1.0,,,2018-07-05,2.514
"Parikh, R. B.","Montgomery, A., & Lynn, J.",The Older Americans Act at 50 -- Community-Based Care in a Value-Driven Era,2015-07-30 00:00:00,Journal,New England Journal of Medicine,373(5),0028-4793,NEJM,No,Yes,,,https://www.nejm.org/doi/full/10.1056/NEJMp1503493,13.9,,,,,,8.0,,,2018-07-05,79.258
"Netting, F. E.","Huber, R., Borders, K., Kautz, J. R., & Nelson, H. W.",Volunteer and Paid Ombudsman Investigating Complaints in Six States: A Natural Triaging,2000-09-01 00:00:00,Journal,Nonprofit and Voluntary Sector Quarterly,29(3),0899-7640,SAGE Journals,Yes,N,"Long Term Ombudsman Annual Report. FY 1996 [AoA];
Real People, Real Problems: An Evaluation of the Long Term Care Ombudsman Programs of the Older Americans Act [AoA];
Successful Ombudsman Programs (Report No. OEI-02-90-02120) [AoA, OIG];
State Implementation of the Ombudsman Requirements of the Older Americans Act (Report No. OEI-02-91-01516) [AoA, OIG]","""NORS"" AND ""OAA""",https://doi.org/10.1177/0899764000293004,0.99,,,,,25.0,13.0,,0.0,2018-06-27,1.932
"Wallace, D. C.","McGuire, S. L., Lee, H. T., & Sauter, M.",Older Americans Act: Implications for Nursing,1999-07-01 00:00:00,Journal,Nursing Outlook,47,0029-6554,Nursing Outlook,Yes,,"Current Status of the Older Americans Act Reauthorization [AoA, web];
Serving Elders at Risk: The Older Americans Act Nutrition Programs, National Evaluation of Elderly Nutrition Program, 1993-1995 [AoA];
An Evaluation of the Long-Term Care Ombudsman Programs of the Older Americans Act [AoA, web];
Older Americans Act Appropriation Information [AoA, web]",,https://www.nursingoutlook.org/article/S0029-6554(99)90094-5/pdf,1.34,,,,,,1.0,,,2018-07-09,2.425
"Zhu, H.","An, R.",Impact of Home-Delivered Meal Programs on Diet and Nutrition Among Older Adults,2014-06-10 00:00:00,Journal,Nutrition and Health,22(2),0270-658X,SAGE Journals,No,Yes,,,https://doi.org/10.1177/0260106014537146,0.67,,,,,1114.0,28.0,,3579.0,2018-07-05,
"Sahyoun, N. R.","Vaudin, A.",Home-Delivered Meals and Nutrition Status Among Older Adults,2014-06-06 00:00:00,Journal,Nutrition in Clinical Practice,29(4),0884-5336,Wiley Online Library,No,Yes,,"""AGID"" AND ""ACL""",https://onlinelibrary.wiley.com/doi/abs/10.1177/0884533614536446,1.34,,,,,,19.0,,,2018-06-19,2.591
